,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
122,123,1/6/2011,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219
123,124,1/6/2011,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122
124,125,1/6/2011,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45
125,126,1/6/2011,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
126,127,1/6/2011,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84
127,128,1/6/2011,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
128,129,1/6/2011,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
129,130,1/6/2011,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62
130,131,1/6/2011,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
131,132,1/6/2011,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
132,133,1/6/2011,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
133,134,1/6/2011,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
134,135,1/6/2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
135,136,1/6/2011,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
136,137,1/6/2011,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
137,138,1/6/2011,1,0,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,23
138,139,1/7/2011,1,0,1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,17
139,140,1/7/2011,1,0,1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,7
140,141,1/7/2011,1,0,1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,1
141,142,1/7/2011,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
142,143,1/7/2011,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5
143,144,1/7/2011,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34
144,145,1/7/2011,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
145,146,1/7/2011,1,0,1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,210
146,147,1/7/2011,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
147,148,1/7/2011,1,0,1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,63
148,149,1/7/2011,1,0,1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,67
149,150,1/7/2011,1,0,1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,59
150,151,1/7/2011,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
151,152,1/7/2011,1,0,1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,50
152,153,1/7/2011,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
153,154,1/7/2011,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
154,155,1/7/2011,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187
155,156,1/7/2011,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
156,157,1/7/2011,1,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,95
157,158,1/7/2011,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51
158,159,1/7/2011,1,0,1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,39
159,160,1/7/2011,1,0,1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,36
160,161,1/7/2011,1,0,1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,15
161,162,1/8/2011,1,0,1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,25
162,163,1/8/2011,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16
163,164,1/8/2011,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,16
164,165,1/8/2011,1,0,1,3,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,7
165,166,1/8/2011,1,0,1,4,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,1
166,167,1/8/2011,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
167,168,1/8/2011,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2
168,169,1/8/2011,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9
169,170,1/8/2011,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15
170,171,1/8/2011,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20
171,172,1/8/2011,1,0,1,10,0,6,0,2,0.18,0.19699999999999998,0.8,0.1642,61
172,173,1/8/2011,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62
173,174,1/8/2011,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98
174,175,1/8/2011,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102
175,176,1/8/2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
176,177,1/8/2011,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74
177,178,1/8/2011,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76
178,179,1/8/2011,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69
179,180,1/8/2011,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55
180,181,1/8/2011,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
181,182,1/8/2011,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28
182,183,1/8/2011,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37
183,184,1/8/2011,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34
184,185,1/8/2011,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22
185,186,1/9/2011,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25
186,187,1/9/2011,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12
187,188,1/9/2011,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11
188,189,1/9/2011,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
189,190,1/9/2011,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1
190,191,1/9/2011,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1
191,192,1/9/2011,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
192,193,1/9/2011,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,6
193,194,1/9/2011,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10
194,195,1/9/2011,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
195,196,1/9/2011,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49
196,197,1/9/2011,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49
197,198,1/9/2011,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83
198,199,1/9/2011,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75
199,200,1/9/2011,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72
200,201,1/9/2011,1,0,1,15,0,0,0,1,0.22,0.19699999999999998,0.35,0.3582,82
201,202,1/9/2011,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92
202,203,1/9/2011,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62
203,204,1/9/2011,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48
204,205,1/9/2011,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41
205,206,1/9/2011,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38
206,207,1/9/2011,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20
207,208,1/9/2011,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15
208,209,1/9/2011,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,6
209,210,1/10/2011,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5
210,211,1/10/2011,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
211,212,1/10/2011,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
212,213,1/10/2011,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
213,214,1/10/2011,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3
214,215,1/10/2011,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3
215,216,1/10/2011,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31
216,217,1/10/2011,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
217,218,1/10/2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
218,219,1/10/2011,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94
219,220,1/10/2011,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31
220,221,1/10/2011,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30
221,222,1/10/2011,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52
222,223,1/10/2011,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54
223,224,1/10/2011,1,0,1,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,47
224,225,1/10/2011,1,0,1,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,45
225,226,1/10/2011,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74
226,227,1/10/2011,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178
227,228,1/10/2011,1,0,1,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,155
228,229,1/10/2011,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95
229,230,1/10/2011,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74
230,231,1/10/2011,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.19399999999999998,38
231,232,1/10/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24
232,233,1/10/2011,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
233,234,1/11/2011,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12
234,235,1/11/2011,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3
235,236,1/11/2011,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.19399999999999998,3
236,237,1/11/2011,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6
237,238,1/11/2011,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27
238,239,1/11/2011,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,99
239,240,1/11/2011,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217
240,241,1/11/2011,1,0,1,9,0,2,1,2,0.18,0.19699999999999998,0.51,0.1642,130
241,242,1/11/2011,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54
242,243,1/11/2011,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35
243,244,1/11/2011,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57
244,245,1/11/2011,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52
245,246,1/11/2011,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63
246,247,1/11/2011,1,0,1,15,0,2,1,2,0.16,0.19699999999999998,0.8,0.0896,47
247,248,1/11/2011,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76
248,249,1/11/2011,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136
249,250,1/11/2011,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95
250,251,1/11/2011,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51
251,252,1/11/2011,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.19399999999999998,32
252,253,1/11/2011,1,0,1,21,0,2,1,3,0.16,0.19699999999999998,0.86,0.0896,20
253,254,1/11/2011,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,29
254,255,1/11/2011,1,0,1,23,0,2,1,3,0.16,0.19699999999999998,0.93,0.0896,19
255,256,1/12/2011,1,0,1,0,0,3,1,2,0.16,0.19699999999999998,0.86,0.0896,7
256,257,1/12/2011,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6
257,258,1/12/2011,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
258,259,1/12/2011,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5
259,260,1/12/2011,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
260,261,1/12/2011,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54
261,262,1/12/2011,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,128
262,263,1/12/2011,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,81
263,264,1/12/2011,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39
264,265,1/12/2011,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,35
265,266,1/12/2011,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55
266,267,1/12/2011,1,0,1,13,0,3,1,1,0.22,0.19699999999999998,0.44,0.3582,49
267,268,1/12/2011,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44
268,269,1/12/2011,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,49
269,270,1/12/2011,1,0,1,16,0,3,1,1,0.22,0.19699999999999998,0.44,0.3284,68
270,271,1/12/2011,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
271,272,1/12/2011,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137
272,273,1/12/2011,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83
273,274,1/12/2011,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,56
274,275,1/12/2011,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57
275,276,1/12/2011,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,33
276,277,1/12/2011,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20
277,278,1/13/2011,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,7
278,279,1/13/2011,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2
279,280,1/13/2011,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2
280,281,1/13/2011,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3
281,282,1/13/2011,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4
282,283,1/13/2011,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3
283,284,1/13/2011,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28
284,285,1/13/2011,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72
285,286,1/13/2011,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.19399999999999998,202
286,287,1/13/2011,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,139
287,288,1/13/2011,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,38
288,289,1/13/2011,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,37
289,290,1/13/2011,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,52
