,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
60,1.25,Ideal,G,VVS2,VG,VG,GIA,11089
61,1.23,Signature-Ideal,G,VS1,EX,EX,GIA,10859
62,1.51,Good,E,SI1,EX,EX,GIA,12487
63,1.21,Signature-Ideal,E,VS1,EX,EX,GIA,12111
64,1.02,Very Good,D,SI1,G,VG,GIA,6001
65,0.75,Very Good,F,SI1,VG,VG,GIA,2734
66,0.78,Very Good,I,VS1,VG,VG,GIA,2694
67,2.02,Ideal,E,VS1,VG,G,GIA,32060
68,0.9,Good,E,SI1,VG,G,GIA,4147
69,1.01,Ideal,F,VS1,EX,EX,GIA,8860
70,1.02,Ideal,G,VS2,EX,EX,GIA,6264
71,1.14,Very Good,H,VS2,VG,G,GIA,5640
72,1.5,Very Good,G,SI1,VG,VG,GIA,10019
73,1.3,Very Good,H,SI1,VG,G,GIA,7018
74,1.01,Very Good,D,IF,VG,VG,GIA,18187
75,2.17,Ideal,G,VS1,EX,EX,GIA,30156
76,0.9,Ideal,G,SI1,EX,EX,GIA,4260
77,1.0,Good,H,SI1,VG,VG,GIA,4864
78,2.24,Ideal,E,VS1,EX,EX,GIA,40445
79,1.59,Ideal,H,VS1,EX,EX,GIA,13839
80,1.02,Ideal,H,VS1,VG,VG,GIA,5835
81,1.02,Very Good,H,SI1,VG,VG,GIA,4932
82,2.1,Signature-Ideal,F,SI1,ID,ID,AGSL,26278
83,0.91,Fair,F,SI1,VG,G,GIA,4036
84,1.62,Very Good,F,SI1,EX,VG,GIA,12202
85,1.1,Ideal,H,VS2,VG,VG,GIA,6387
86,0.91,Very Good,F,SI1,VG,EX,GIA,4188
87,1.2,Good,I,VS1,VG,VG,GIA,5818
88,0.9,Very Good,E,SI1,EX,EX,GIA,4442
89,1.04,Very Good,F,SI1,G,EX,GIA,5369
90,1.66,Ideal,H,VS1,EX,EX,GIA,13330
91,0.77,Very Good,D,VS1,EX,EX,GIA,3643
92,1.63,Very Good,I,SI1,G,G,GIA,9199
93,1.32,Ideal,E,SI1,VG,VG,GIA,8014
94,1.71,Very Good,F,VS1,VG,VG,GIA,17768
95,1.02,Ideal,E,SI1,VG,VG,GIA,5590
96,1.04,Ideal,G,VS2,EX,EX,GIA,6809
97,1.01,Ideal,F,VS2,EX,EX,GIA,7411
98,1.2,Very Good,E,VS2,VG,EX,GIA,9320
99,2.0,Good,I,VS2,VG,VG,GIA,15438
100,1.01,Very Good,I,SI1,EX,EX,GIA,4133
101,1.0,Very Good,E,VVS2,EX,VG,GIA,8638
102,0.9,Ideal,I,SI1,VG,VG,GIA,3455
103,1.38,Ideal,G,VVS1,EX,VG,GIA,12684
104,1.0,Very Good,I,VS2,EX,VG,GIA,4739
105,1.13,Very Good,F,VVS2,VG,VG,GIA,9947
106,0.79,Ideal,I,VS1,EX,EX,GIA,2888
107,1.54,Ideal,I,VS2,ID,ID,AGSL,9998
108,0.81,Very Good,I,SI1,VG,VG,GIA,2701
109,1.15,Ideal,F,VVS2,VG,VG,GIA,10555
110,1.51,Very Good,F,VS2,EX,VG,GIA,13324
111,1.2,Ideal,I,SI1,EX,VG,GIA,5476
112,1.1,Very Good,H,SI1,VG,G,GIA,5276
113,1.31,Very Good,I,VS1,VG,VG,GIA,6885
114,1.03,Ideal,G,VS2,EX,EX,GIA,6981
115,1.1,Very Good,I,SI1,G,EX,GIA,4545
116,1.01,Very Good,F,VVS1,EX,EX,GIA,9782
117,1.01,Very Good,E,SI1,VG,VG,GIA,5224
118,1.01,Very Good,F,VS2,EX,EX,GIA,6714
119,1.57,Ideal,G,VS2,EX,EX,GIA,14283
120,1.01,Good,H,SI1,EX,EX,GIA,4563
121,1.0,Ideal,E,VS2,EX,EX,GIA,7370
122,1.21,Very Good,D,SI1,VG,EX,GIA,7597
123,0.93,Very Good,E,VS2,G,VG,GIA,5140
124,1.78,Very Good,D,VS2,VG,G,GIA,16697
125,2.25,Ideal,E,VS2,EX,EX,GIA,32691
126,0.93,Very Good,D,VS1,VG,VG,GIA,5862
127,0.9,Very Good,H,VS2,G,G,GIA,4064
128,1.01,Very Good,H,SI1,EX,VG,GIA,4682
129,1.14,Good,H,SI1,VG,VG,GIA,5487
130,1.05,Very Good,G,VS1,EX,VG,GIA,7010
131,1.6,Ideal,G,VS2,ID,ID,AGSL,15000
132,1.01,Good,E,SI1,VG,VG,GIA,4989
133,1.01,Fair,D,SI1,EX,G,GIA,5122
134,0.75,Very Good,F,VVS2,G,G,GIA,3551
135,1.01,Very Good,D,SI1,VG,VG,GIA,5731
136,2.03,Very Good,I,SI1,VG,EX,GIA,15101
137,0.83,Good,E,SI1,EX,VG,GIA,3422
138,1.02,Very Good,E,VS2,VG,VG,GIA,6366
139,2.12,Ideal,H,VS2,ID,ID,AGSL,21846
140,2.04,Ideal,I,SI1,EX,EX,GIA,16718
141,0.75,Ideal,I,VVS2,ID,ID,AGSL,2782
142,2.17,Ideal,F,SI1,VG,EX,GIA,22930
143,1.0,Fair,F,VS1,EX,VG,GIA,6627
144,1.0,Good,E,SI1,VG,EX,GIA,5408
145,1.26,Very Good,F,VS1,EX,EX,GIA,11255
146,1.31,Ideal,I,VS1,EX,EX,GIA,7751
147,1.51,Very Good,G,VS2,VG,VG,GIA,11923
148,1.02,Very Good,D,SI1,G,VG,GIA,5839
149,1.01,Ideal,E,VVS2,VG,VG,GIA,10503
150,0.91,Ideal,I,VS1,ID,ID,AGSL,4374
151,0.79,Ideal,I,VS2,VG,EX,GIA,2712
152,0.79,Good,E,SI1,VG,VG,GIA,2548
153,1.02,Very Good,E,SI1,VG,VG,GIA,5667
154,2.02,Very Good,F,SI1,VG,VG,GIA,17658
155,1.06,Ideal,I,SI1,EX,EX,GIA,4745
156,1.01,Very Good,F,VVS2,VG,G,GIA,7835
157,0.9,Very Good,D,VS2,G,VG,GIA,4729
158,2.15,Very Good,G,VS1,EX,EX,GIA,27558
159,2.2,Very Good,F,VS2,EX,EX,GIA,27535
160,1.22,Ideal,F,VS1,EX,EX,GIA,10422
161,1.0,Fair,E,VVS2,VG,G,GIA,7553
162,0.8,Very Good,H,SI1,EX,G,GIA,2670
163,2.19,Very Good,F,VS2,VG,VG,GIA,29635
164,1.32,Ideal,D,VVS2,EX,EX,GIA,16099
165,1.51,Good,F,SI1,G,G,GIA,11056
166,1.01,Good,E,SI1,VG,VG,GIA,5233
167,2.74,Ideal,I,SI1,ID,ID,AGSL,24089
168,1.02,Very Good,F,VVS1,VG,VG,GIA,8800
169,2.04,Ideal,E,SI1,ID,ID,AGSL,20045
170,1.02,Ideal,G,VS1,EX,VG,GIA,7038
171,1.02,Very Good,G,VVS2,VG,EX,GIA,8252
172,2.08,Ideal,H,SI1,EX,EX,GIA,18760
173,1.02,Very Good,F,VVS2,EX,VG,GIA,9246
174,1.06,Ideal,G,SI1,VG,VG,GIA,5870
175,1.5,Very Good,F,VS2,VG,VG,GIA,12751
176,1.57,Very Good,F,VVS1,EX,EX,GIA,21167
177,2.34,Very Good,D,VVS2,VG,VG,GIA,57208
178,1.2,Ideal,I,VS2,EX,EX,GIA,6303
179,1.01,Very Good,D,SI1,VG,VG,GIA,5619
180,1.32,Ideal,G,VS1,ID,ID,AGSL,11079
181,1.15,Very Good,H,VS2,G,G,GIA,5831
182,0.91,Very Good,D,SI1,VG,G,GIA,4585
183,1.14,Ideal,I,SI1,VG,VG,GIA,4894
184,1.13,Ideal,H,VVS2,EX,EX,GIA,7385
185,2.08,Ideal,E,VS2,EX,EX,GIA,32149
186,0.9,Good,E,VVS1,EX,VG,GIA,7214
187,0.75,Ideal,H,SI1,VG,VG,GIA,2501
188,2.66,Ideal,D,FL,EX,EX,GIA,96493
189,1.56,Ideal,G,VS2,EX,EX,GIA,13543
190,1.02,Very Good,G,VVS2,G,VG,GIA,8013
191,1.02,Ideal,F,SI1,VG,EX,GIA,5795
192,1.53,Very Good,G,VS1,VG,G,GIA,15008
193,1.07,Very Good,F,IF,G,G,GIA,11019
194,1.2,Very Good,G,SI1,VG,VG,GIA,6076
195,0.9,Fair,F,SI1,VG,VG,GIA,3842
196,1.23,Ideal,D,VVS2,EX,EX,GIA,13274
197,1.01,Ideal,D,VVS2,ID,ID,AGSL,11442
198,1.06,Signature-Ideal,F,VVS2,EX,EX,GIA,10927
199,1.04,Ideal,G,VS2,EX,EX,GIA,6769
200,1.51,Ideal,G,VS2,VG,EX,GIA,12947
201,1.22,Very Good,H,SI1,G,VG,GIA,6350
202,0.9,Very Good,E,SI1,VG,G,GIA,4265
203,1.02,Ideal,F,VS2,EX,VG,GIA,6622
204,0.8,Very Good,H,VS1,VG,VG,GIA,3144
205,1.57,Ideal,E,VS2,EX,EX,GIA,17548
206,2.08,Very Good,F,VS2,VG,G,GIA,30210
207,0.9,Very Good,F,VS1,VG,VG,GIA,4671
208,1.5,Ideal,H,VS1,ID,ID,AGSL,12055
209,2.01,Very Good,H,SI1,VG,G,GIA,18149
210,1.28,Ideal,G,SI1,EX,EX,GIA,7415
211,1.52,Very Good,H,VS1,VG,VG,GIA,12877
212,1.0,Good,H,SI1,VG,VG,GIA,4702
213,2.37,Ideal,H,VS2,EX,VG,GIA,28063
214,2.02,Good,E,VS1,EX,VG,GIA,29334
215,1.21,Ideal,F,VS1,ID,ID,AGSL,11045
216,1.54,Good,H,VS1,EX,VG,GIA,10669
217,1.5,Very Good,H,VS2,VG,G,GIA,9706
218,0.78,Very Good,E,VVS1,EX,VG,GIA,4904
219,2.2,Very Good,I,VS1,EX,EX,AGSL,19671
220,1.14,Ideal,G,IF,EX,EX,GIA,9948
221,1.33,Ideal,G,VVS2,EX,EX,GIA,12345
222,1.04,Ideal,D,VVS2,EX,EX,GIA,11367
223,2.0,Very Good,I,SI1,VG,G,GIA,15381
224,0.9,Very Good,D,VVS2,EX,VG,GIA,5423
225,1.51,Fair,G,SI1,G,VG,GIA,8681
226,1.23,Very Good,G,VVS1,EX,EX,GIA,10477
227,1.53,Ideal,I,SI1,VG,VG,GIA,8971
228,1.04,Very Good,F,SI1,G,VG,GIA,5290
229,1.2,Very Good,H,SI1,EX,G,GIA,5630
230,2.13,Ideal,D,IF,ID,ID,AGSL,70114
231,0.9,Good,H,VS1,VG,VG,GIA,4072
232,1.09,Ideal,E,VS2,EX,EX,GIA,7978
233,1.27,Ideal,F,VVS1,VG,VG,GIA,13279
234,1.01,Good,G,SI1,VG,G,GIA,4884
235,1.13,Very Good,G,VVS2,VG,VG,GIA,9788
236,1.01,Very Good,I,VS1,EX,EX,GIA,5041
237,2.21,Ideal,G,VS2,EX,EX,GIA,30440
238,2.03,Ideal,I,VVS1,ID,ID,AGSL,21437
239,2.01,Very Good,I,VS2,VG,VG,GIA,15675
240,2.13,Very Good,H,SI1,VG,VG,GIA,17601
241,1.5,Good,F,SI1,G,G,GIA,10755
242,1.27,Ideal,I,VS1,G,VG,GIA,6396
243,1.07,Ideal,F,IF,EX,VG,GIA,11327
244,2.14,Good,G,SI1,VG,G,GIA,20853
245,1.01,Very Good,H,SI1,EX,EX,AGSL,4727
246,1.0,Ideal,F,SI1,VG,EX,GIA,5312
247,1.52,Very Good,E,SI1,EX,EX,GIA,12275
248,1.19,Ideal,G,VS1,ID,ID,AGSL,8034
249,1.03,Ideal,F,VS1,ID,ID,AGSL,7856
250,1.01,Good,F,SI1,EX,VG,GIA,5078
251,0.9,Very Good,D,SI1,G,G,GIA,4105
252,2.02,Ideal,H,VS1,VG,VG,GIA,20885
253,1.22,Very Good,G,VS2,VG,EX,GIA,8340
254,1.13,Ideal,G,SI1,EX,VG,GIA,5759
255,1.01,Ideal,F,SI1,EX,EX,GIA,5870
256,1.04,Ideal,G,VS2,EX,EX,GIA,7044
257,0.76,Very Good,H,IF,EX,EX,GIA,3367
258,0.93,Ideal,I,SI1,EX,EX,GIA,3772
259,0.9,Ideal,H,VS2,VG,VG,GIA,4369
260,1.22,Very Good,G,VVS2,EX,EX,GIA,9919
261,1.16,Very Good,D,SI1,EX,EX,GIA,5695
262,2.5,Very Good,I,VS2,VG,G,GIA,20894
263,1.71,Good,I,VS2,G,G,GIA,11250
264,1.29,Ideal,H,SI1,ID,ID,AGSL,7036
265,1.03,Ideal,G,VS1,ID,ID,AGSL,6913
266,0.9,Ideal,D,SI1,EX,EX,GIA,5656
267,2.32,Very Good,E,VVS2,G,EX,GIA,47800
268,1.51,Good,I,VS2,VG,G,GIA,8951
269,2.01,Good,E,VVS2,EX,G,GIA,34255
270,1.0,Very Good,F,SI1,EX,VG,GIA,5528
271,1.29,Ideal,G,VS2,EX,VG,AGSL,8858
272,2.23,Ideal,H,VVS1,EX,EX,GIA,28811
273,1.2,Very Good,F,VS1,VG,VG,GIA,9574
274,0.78,Ideal,H,SI1,VG,EX,GIA,2622
275,1.0,Fair,H,SI1,G,VG,GIA,4269
276,0.92,Very Good,E,VS2,EX,EX,GIA,5044
277,1.05,Good,H,SI1,G,G,GIA,4785
278,1.1,Very Good,H,SI1,VG,EX,GIA,4938
279,1.23,Very Good,G,VVS1,G,VG,GIA,10435
280,0.76,Good,G,VS1,VG,G,AGSL,3121
281,1.21,Ideal,I,VS1,ID,ID,AGSL,7111
282,2.01,Ideal,H,VS2,ID,ID,AGSL,20296
283,1.02,Very Good,E,VS2,VG,G,GIA,6612
284,1.04,Good,G,SI1,G,G,GIA,4768
285,0.76,Ideal,G,VS2,EX,EX,GIA,3114
286,1.01,Ideal,F,VS1,VG,VG,GIA,7870
287,1.51,Ideal,D,SI1,EX,EX,GIA,13588
288,1.22,Ideal,F,VVS2,VG,EX,GIA,10409
289,2.02,Very Good,E,VS2,VG,EX,GIA,28739
290,1.09,Ideal,G,VS1,EX,EX,GIA,7992
291,0.91,Very Good,D,VS2,VG,VG,GIA,5134
292,1.0,Fair,E,VS2,VG,G,GIA,6268
293,0.9,Very Good,I,VS2,G,G,GIA,3709
294,1.32,Very Good,I,VS1,VG,VG,GIA,6793
295,2.01,Good,H,VS2,G,G,GIA,18341
296,1.01,Ideal,I,SI1,VG,VG,GIA,5020
297,1.09,Signature-Ideal,G,VS2,ID,ID,AGSL,7709
298,1.0,Very Good,E,SI1,VG,VG,GIA,5247
299,0.91,Very Good,H,VVS2,VG,VG,GIA,4143
300,1.55,Signature-Ideal,I,VS2,ID,ID,AGSL,11574
301,1.25,Ideal,G,VVS2,ID,ID,AGSL,10983
302,1.03,Ideal,G,VVS2,EX,EX,GIA,8277
303,0.77,Ideal,D,SI1,ID,ID,AGSL,3345
304,2.01,Ideal,H,SI1,EX,VG,GIA,18252
305,0.78,Ideal,H,VVS2,EX,EX,GIA,3581
306,1.5,Signature-Ideal,G,VVS2,ID,ID,AGSL,17176
307,1.7,Very Good,H,SI1,VG,VG,GIA,11560
308,1.15,Ideal,H,SI1,VG,VG,GIA,5529
309,0.84,Ideal,I,VS1,EX,EX,GIA,2898
310,1.07,Very Good,H,VS2,G,G,GIA,5586
311,1.5,Ideal,E,VS2,ID,ID,AGSL,14618
312,1.0,Very Good,G,VVS1,EX,G,GIA,7872
313,1.01,Good,F,VS2,G,VG,GIA,5700
314,1.14,Signature-Ideal,H,SI1,ID,ID,AGSL,7079
315,1.28,Ideal,F,VS1,EX,EX,GIA,12061
316,0.91,Very Good,G,VVS1,EX,EX,GIA,4680
317,1.22,Ideal,F,VS2,VG,VG,GIA,8418
318,0.91,Very Good,H,SI1,EX,VG,GIA,3998
319,1.01,Very Good,H,VS2,ID,ID,AGSL,5393
320,1.06,Signature-Ideal,G,VS1,ID,ID,AGSL,8093
321,1.26,Ideal,F,VS2,EX,EX,GIA,10709
322,0.9,Very Good,E,VS2,VG,EX,GIA,4920
323,0.92,Signature-Ideal,I,SI1,ID,ID,AGSL,4457
324,2.01,Very Good,G,VS1,EX,EX,GIA,24784
325,1.0,Very Good,G,VVS2,EX,EX,GIA,7215
326,1.5,Ideal,H,VVS2,ID,ID,AGSL,12187
327,1.2,Very Good,H,SI1,VG,VG,GIA,6377
328,2.03,Ideal,F,VS2,EX,EX,GIA,31773
329,2.07,Very Good,I,VS2,VG,EX,GIA,16378
330,1.01,Very Good,F,VS1,VG,VG,GIA,6914
331,0.79,Very Good,E,VVS2,VG,VG,GIA,4585
332,1.7,Good,G,VS2,VG,G,GIA,15087
333,0.83,Very Good,H,VS2,G,EX,GIA,3276
334,1.09,Ideal,G,VS2,EX,EX,GIA,7227
335,0.9,Good,H,SI1,G,VG,GIA,3238
336,0.9,Good,D,VS2,VG,G,GIA,4508
337,1.33,Ideal,I,VS2,ID,ID,AGSL,7752
338,1.51,Ideal,G,VS2,VG,EX,GIA,12913
339,1.0,Very Good,H,SI1,EX,EX,GIA,5021
340,2.02,Good,H,VS1,EX,EX,GIA,19829
341,0.81,Very Good,E,SI1,VG,G,GIA,3643
342,1.03,Ideal,D,VS1,EX,EX,GIA,9192
343,0.75,Ideal,E,SI1,G,VG,GIA,3049
344,1.06,Good,H,SI1,VG,VG,GIA,4828
345,0.86,Ideal,F,VS2,EX,EX,GIA,4398
346,0.91,Fair,F,SI1,G,G,GIA,3884
347,1.01,Good,F,SI1,EX,VG,GIA,5107
348,2.09,Ideal,H,VS1,EX,EX,GIA,23602
349,1.23,Very Good,F,VVS2,G,EX,GIA,11110
350,1.35,Very Good,H,VVS2,EX,ID,AGSL,8644
351,1.25,Ideal,E,VVS2,ID,ID,AGSL,12981
352,2.02,Very Good,G,SI1,VG,EX,GIA,19442
353,1.01,Very Good,D,SI1,VG,G,GIA,5670
354,1.52,Ideal,H,SI1,EX,VG,GIA,10239
355,1.53,Very Good,H,SI1,G,EX,GIA,9332
356,2.01,Ideal,G,VS1,VG,VG,GIA,26659
357,1.08,Ideal,H,SI1,ID,ID,AGSL,5558
358,1.23,Ideal,I,SI1,EX,EX,GIA,6183
359,1.23,Very Good,F,VS1,G,VG,GIA,9694
360,1.02,Very Good,G,IF,VG,VG,GIA,8538
361,1.02,Very Good,F,VVS2,EX,EX,GIA,9728
362,1.13,Ideal,G,VS1,ID,ID,AGSL,7808
363,2.43,Ideal,E,SI1,EX,EX,GIA,30108
364,1.03,Signature-Ideal,D,VS1,EX,EX,GIA,10607
365,0.8,Very Good,H,VVS1,ID,ID,AGSL,3737
366,1.09,Ideal,D,VVS2,EX,EX,GIA,12185
367,1.0,Very Good,D,SI1,EX,VG,GIA,6040
368,1.0,Ideal,G,VS2,VG,VG,GIA,5887
369,1.33,Signature-Ideal,F,VVS2,EX,EX,GIA,15031
370,0.9,Very Good,G,VS2,VG,VG,GIA,4173
371,1.05,Ideal,G,VS1,ID,ID,AGSL,7317
372,1.04,Good,E,VVS2,VG,G,GIA,9038
373,1.04,Very Good,F,VS1,VG,VG,GIA,8090
374,2.01,Ideal,G,SI1,ID,ID,AGSL,20934
375,1.51,Good,I,VS2,EX,G,GIA,8939
376,0.9,Fair,D,VS1,VG,G,GIA,4958
377,1.12,Ideal,G,VS1,ID,ID,AGSL,7970
378,0.91,Very Good,F,SI1,VG,VG,GIA,3963
379,1.05,Ideal,G,VS1,EX,VG,GIA,7571
380,2.01,Ideal,E,SI1,EX,EX,GIA,23217
381,0.9,Fair,E,SI1,VG,VG,GIA,3743
382,2.3,Very Good,E,VS1,EX,EX,GIA,45752
383,0.85,Very Good,D,VS2,VG,VG,GIA,4133
384,1.25,Very Good,I,VS2,G,VG,GIA,5956
385,1.59,Ideal,I,SI1,EX,EX,GIA,9209
386,1.2,Ideal,D,VVS2,VG,EX,GIA,13165
387,1.21,Very Good,G,VVS2,EX,EX,GIA,9878
388,1.05,Very Good,D,VS2,G,G,GIA,7794
389,1.06,Ideal,G,VS1,EX,EX,GIA,7594
390,1.02,Ideal,F,VS2,EX,VG,GIA,6645
391,1.01,Very Good,E,VVS2,VG,EX,GIA,8401
392,1.01,Very Good,F,VVS1,EX,VG,GIA,10019
393,0.82,Ideal,F,VS2,ID,ID,AGSL,3913
394,1.03,Very Good,G,SI1,G,VG,GIA,4997
395,0.9,Very Good,H,SI1,EX,EX,GIA,3770
396,0.91,Very Good,I,VS2,G,VG,GIA,3633
397,1.51,Fair,I,VS1,G,G,GIA,8359
398,1.01,Good,D,SI1,VG,VG,GIA,5541
399,1.12,Ideal,G,VS1,EX,EX,GIA,8202
400,2.07,Very Good,D,VVS2,G,VG,GIA,46229
401,1.01,Fair,F,VS2,EX,G,GIA,5747
402,2.57,Ideal,G,VS1,VG,EX,GIA,40652
403,1.23,Very Good,G,VVS2,EX,VG,GIA,9803
404,2.01,Good,I,SI1,EX,G,GIA,15743
405,2.01,Good,G,IF,EX,VG,GIA,27624
406,2.05,Good,H,VS1,VG,VG,GIA,19436
407,1.55,Ideal,G,VS1,EX,EX,GIA,15070
408,2.55,Ideal,I,VS1,EX,EX,GIA,25387
409,1.01,Ideal,E,VS1,EX,VG,GIA,7458
410,0.76,Very Good,H,SI1,EX,EX,GIA,2593
411,1.01,Good,H,SI1,G,G,GIA,5197
412,0.9,Ideal,I,VS1,VG,EX,GIA,3724
413,1.01,Very Good,G,SI1,EX,EX,GIA,5231
414,2.02,Ideal,E,VS2,VG,VG,GIA,29641
415,2.15,Good,F,SI1,EX,VG,GIA,23911
416,2.01,Good,E,VS2,VG,VG,GIA,25793
417,1.8,Very Good,E,SI1,EX,G,GIA,17273
418,1.53,Ideal,D,VS2,EX,EX,GIA,17223
419,1.02,Very Good,H,SI1,VG,EX,GIA,4802
420,1.52,Very Good,G,VS2,G,VG,GIA,12596
421,1.25,Ideal,E,VS2,VG,EX,GIA,9365
422,0.9,Very Good,D,VS2,VG,EX,GIA,4981
423,2.01,Ideal,I,SI1,VG,VG,GIA,15333
424,1.06,Ideal,D,SI1,VG,VG,GIA,6062
425,0.76,Ideal,D,VS1,VG,EX,GIA,4229
426,1.01,Good,F,VS2,G,G,GIA,6081
427,2.47,Very Good,G,VVS2,VG,EX,GIA,36993
428,1.15,Ideal,E,VVS1,EX,EX,GIA,12447
429,2.11,Ideal,G,SI1,EX,EX,GIA,21262
430,1.51,Ideal,I,SI1,EX,EX,GIA,8504
431,1.08,Signature-Ideal,H,VS1,ID,ID,AGSL,7397
432,0.9,Ideal,G,VVS1,EX,VG,GIA,6237
433,2.02,Very Good,F,SI1,VG,VG,GIA,20548
434,0.9,Ideal,G,VS1,EX,EX,GIA,4931
435,1.55,Fair,G,VS2,G,G,GIA,10981
436,1.01,Very Good,G,VS1,EX,VG,GIA,6561
437,2.39,Very Good,G,VVS2,VG,G,GIA,34415
438,1.5,Good,E,VS2,EX,VG,GIA,13061
439,0.75,Signature-Ideal,H,SI1,ID,ID,AGSL,3011
440,2.27,Ideal,E,VVS2,EX,EX,GIA,47741
441,1.51,Very Good,E,SI1,EX,EX,AGSL,12064
442,2.17,Ideal,H,VVS2,EX,EX,GIA,25707
443,1.71,Very Good,I,SI1,VG,VG,GIA,10410
444,1.01,Very Good,H,VS1,VG,VG,GIA,5680
445,1.01,Good,F,SI1,G,VG,GIA,5008
446,1.51,Ideal,H,VS2,EX,EX,GIA,11696
447,1.64,Ideal,I,VS2,VG,VG,GIA,10628
448,1.62,Signature-Ideal,F,VS1,ID,ID,AGSL,19661
449,0.88,Ideal,H,VVS1,VG,VG,GIA,4334
450,0.8,Very Good,E,VS1,EX,VG,GIA,3831
451,1.08,Ideal,D,SI1,VG,VG,GIA,6078
452,1.01,Very Good,E,VS2,EX,G,GIA,6491
453,2.01,Ideal,G,VS1,ID,ID,AGSL,26026
454,0.75,Very Good,E,VS2,EX,EX,GIA,3365
455,0.91,Fair,F,SI1,VG,VG,GIA,4036
456,1.0,Very Good,D,SI1,EX,VG,GIA,5491
457,1.01,Good,G,VVS2,VG,VG,GIA,7566
458,1.28,Ideal,G,VS1,G,EX,GIA,9372
459,2.03,Very Good,F,VS1,VG,VG,GIA,30894
460,1.2,Very Good,F,VS1,VG,VG,GIA,8983
461,2.25,Very Good,G,VS1,VG,VG,GIA,33248
462,1.05,Ideal,H,SI1,EX,VG,GIA,4925
463,0.9,Ideal,G,VS2,EX,EX,GIA,4748
464,1.25,Ideal,F,VS2,EX,EX,GIA,9503
465,0.96,Ideal,G,VS1,EX,EX,GIA,6807
