,Recency,Frequency,Monetary,Time,Class
184,13,8,2000,26,0
185,11,9,2250,33,0
186,4,5,1250,34,0
187,4,4,1000,26,0
188,8,15,3750,77,0
189,4,5,1250,35,1
190,4,7,1750,52,0
191,4,7,1750,52,0
192,2,4,1000,35,0
193,11,11,2750,42,0
194,2,2,500,14,0
195,2,5,1250,47,1
196,9,8,2000,38,1
197,4,6,1500,47,0
198,11,7,1750,29,0
199,9,9,2250,45,0
200,4,6,1500,52,0
201,4,7,1750,58,0
202,6,2,500,11,1
203,4,7,1750,58,0
204,11,9,2250,38,0
205,11,6,1500,26,0
206,2,2,500,16,0
207,2,7,1750,76,0
208,11,6,1500,27,0
209,11,3,750,14,0
210,4,1,250,4,0
211,4,1,250,4,0
212,4,1,250,4,0
213,4,1,250,4,0
214,4,1,250,4,0
215,4,1,250,4,1
216,4,1,250,4,0
217,4,1,250,4,0
218,4,1,250,4,0
219,4,1,250,4,0
220,4,1,250,4,0
221,4,1,250,4,1
222,4,1,250,4,1
223,4,1,250,4,0
224,4,1,250,4,1
225,4,1,250,4,1
226,4,1,250,4,0
227,4,3,750,24,0
228,4,1,250,4,0
229,4,1,250,4,0
230,4,1,250,4,0
231,4,1,250,4,1
232,4,1,250,4,0
233,10,8,2000,39,0
234,14,7,1750,26,0
235,8,10,2500,63,0
236,11,3,750,15,0
237,4,2,500,14,0
238,2,4,1000,43,0
239,8,9,2250,58,0
240,8,8,2000,52,1
241,11,22,5500,98,0
242,4,3,750,25,1
243,11,17,4250,79,1
244,9,2,500,11,0
245,4,5,1250,46,0
246,11,12,3000,58,0
247,7,12,3000,86,0
248,11,2,500,11,0
249,11,2,500,11,0
250,11,2,500,11,0
251,2,6,1500,75,0
252,11,8,2000,41,1
253,11,3,750,16,1
254,12,13,3250,59,0
255,2,3,750,35,0
256,16,8,2000,28,0
257,11,7,1750,37,0
258,4,3,750,28,0
259,12,12,3000,58,0
260,4,4,1000,41,0
261,11,14,3500,73,1
262,2,2,500,23,0
263,2,3,750,38,1
264,4,5,1250,58,0
265,4,4,1000,43,1
266,3,2,500,23,0
267,11,8,2000,46,0
268,4,7,1750,82,0
269,13,4,1000,21,0
270,16,11,2750,40,0
271,16,7,1750,28,0
272,7,2,500,16,0
273,4,5,1250,58,0
274,4,5,1250,58,0
275,4,4,1000,46,0
276,14,13,3250,57,0
277,4,3,750,34,0
278,14,18,4500,78,0
279,11,8,2000,48,0
280,14,16,4000,70,0
281,14,4,1000,22,1
282,14,5,1250,26,0
283,8,2,500,16,0
284,11,5,1250,33,0
285,11,2,500,14,0
286,4,2,500,23,0
287,9,2,500,16,1
288,14,5,1250,28,1
289,14,3,750,19,1
290,14,4,1000,23,1
291,16,12,3000,50,0
292,11,4,1000,28,0
293,11,5,1250,35,0
294,11,5,1250,35,0
295,2,4,1000,70,0
296,14,5,1250,28,0
297,14,2,500,14,0
298,14,2,500,14,0
299,14,2,500,14,0
300,14,2,500,14,0
301,14,2,500,14,0
302,14,2,500,14,0
303,2,3,750,52,0
304,14,6,1500,34,0
305,11,5,1250,37,1
306,4,5,1250,74,0
307,11,3,750,23,0
308,16,4,1000,23,0
309,16,3,750,19,0
310,11,5,1250,38,0
311,11,2,500,16,0
312,12,9,2250,60,0
313,9,1,250,9,0
314,9,1,250,9,0
315,4,2,500,29,0
316,11,2,500,17,0
317,14,4,1000,26,0
318,11,9,2250,72,1
319,11,5,1250,41,0
320,15,16,4000,82,0
321,9,5,1250,51,1
322,11,4,1000,34,0
323,14,8,2000,50,1
324,16,7,1750,38,0
325,14,2,500,16,0
326,2,2,500,41,0
327,14,16,4000,98,0
328,14,4,1000,28,1
329,16,7,1750,39,0
330,14,7,1750,47,0
331,16,6,1500,35,0
332,16,6,1500,35,1
333,11,7,1750,62,1
334,16,2,500,16,0
335,16,3,750,21,1
336,11,3,750,28,0
337,11,7,1750,64,0
338,11,1,250,11,1
339,9,3,750,34,0
340,14,4,1000,30,0
341,23,38,9500,98,0
342,11,6,1500,58,0
343,11,1,250,11,0
344,11,1,250,11,0
345,11,1,250,11,0
346,11,1,250,11,0
347,11,1,250,11,0
348,11,1,250,11,0
349,11,1,250,11,0
350,11,1,250,11,0
351,11,2,500,21,0
352,11,5,1250,50,0
353,11,2,500,21,0
354,16,4,1000,28,0
355,4,2,500,41,0
356,16,6,1500,40,0
357,14,3,750,26,0
358,9,2,500,26,0
359,21,16,4000,64,0
360,14,6,1500,51,0
361,11,2,500,24,0
362,4,3,750,71,0
363,21,13,3250,57,0
364,11,6,1500,71,0
365,14,2,500,21,1
366,23,15,3750,57,0
367,14,4,1000,38,0
368,11,2,500,26,0
369,16,5,1250,40,1
370,4,2,500,51,1
371,14,3,750,31,0
372,4,2,500,52,0
373,9,4,1000,65,0
374,14,4,1000,40,0
375,11,3,750,40,1
376,14,5,1250,50,0
377,14,1,250,14,0
378,14,1,250,14,0
379,14,1,250,14,0
380,14,1,250,14,0
381,14,1,250,14,0
382,14,1,250,14,0
383,14,1,250,14,0
384,14,1,250,14,0
385,14,7,1750,72,0
386,14,1,250,14,0
387,14,1,250,14,0
388,9,3,750,52,0
389,14,7,1750,73,0
390,11,4,1000,58,0
391,11,4,1000,59,0
392,4,2,500,59,0
393,11,4,1000,61,0
394,16,4,1000,40,0
395,16,10,2500,89,0
396,21,2,500,21,1
397,21,3,750,26,0
398,16,8,2000,76,0
399,21,3,750,26,1
400,18,2,500,23,0
401,23,5,1250,33,0
402,23,8,2000,46,0
403,16,3,750,34,0
404,14,5,1250,64,0
405,14,3,750,41,0
406,16,1,250,16,0
407,16,1,250,16,0
408,16,1,250,16,0
409,16,1,250,16,0
410,16,1,250,16,0
411,16,1,250,16,0
412,16,1,250,16,0
413,16,4,1000,45,0
414,16,1,250,16,0
415,16,1,250,16,0
416,16,1,250,16,0
417,16,1,250,16,0
418,16,1,250,16,0
419,16,2,500,26,0
420,21,2,500,23,0
421,16,2,500,27,0
422,21,2,500,23,0
423,21,2,500,23,0
424,14,4,1000,57,0
425,16,5,1250,60,0
426,23,2,500,23,0
427,14,5,1250,74,0
428,23,3,750,28,0
429,16,3,750,40,0
430,9,2,500,52,0
431,9,2,500,52,0
432,16,7,1750,87,1
433,14,4,1000,64,0
434,14,2,500,35,0
435,16,7,1750,93,0
436,21,2,500,25,0
437,14,3,750,52,0
438,23,14,3500,93,0
439,18,8,2000,95,0
440,16,3,750,46,0
441,11,3,750,76,0
442,11,2,500,52,0
443,11,3,750,76,0
444,23,12,3000,86,0
445,21,3,750,35,0
446,23,2,500,26,0
447,23,2,500,26,0
448,23,8,2000,64,0
449,16,3,750,50,0
450,23,3,750,33,0
451,21,3,750,38,0
452,23,2,500,28,0
453,21,1,250,21,0
454,21,1,250,21,0
455,21,1,250,21,0
456,21,1,250,21,0
457,21,1,250,21,0
458,21,1,250,21,0
459,21,1,250,21,0
460,21,1,250,21,0
461,21,1,250,21,0
462,21,1,250,21,1
463,21,1,250,21,0
464,21,1,250,21,0
465,21,5,1250,60,0
466,23,4,1000,45,0
467,21,4,1000,52,0
468,22,1,250,22,1
469,11,2,500,70,0
470,23,5,1250,58,0
471,23,3,750,40,0
472,23,3,750,41,0
473,14,3,750,83,0
474,21,2,500,35,0
475,26,5,1250,49,1
476,23,6,1500,70,0
477,23,1,250,23,0
478,23,1,250,23,0
479,23,1,250,23,0
480,23,1,250,23,0
481,23,1,250,23,0
482,23,1,250,23,0
483,23,1,250,23,0
484,23,1,250,23,0
485,23,4,1000,53,0
486,21,6,1500,86,0
487,23,3,750,48,0
488,21,2,500,41,0
489,21,3,750,64,0
490,16,2,500,70,0
491,21,3,750,70,0
492,23,4,1000,87,0
493,23,3,750,89,0
494,23,2,500,87,0
495,35,3,750,64,0
496,38,1,250,38,0
497,38,1,250,38,0
498,40,1,250,40,0
499,74,1,250,74,0
500,2,43,10750,86,1
501,6,22,5500,28,1
502,2,34,8500,77,1
503,2,44,11000,98,0
504,0,26,6500,76,1
505,2,41,10250,98,1
506,3,21,5250,42,1
507,2,11,2750,23,0
508,2,21,5250,52,1
509,2,13,3250,32,1
510,4,4,1000,4,1
511,2,11,2750,26,0
512,2,11,2750,28,0
513,3,14,3500,35,0
514,4,16,4000,38,1
515,4,6,1500,14,0
516,3,5,1250,12,1
517,4,33,8250,98,1
518,3,10,2500,33,1
519,4,10,2500,28,1
520,2,11,2750,40,1
521,2,11,2750,41,1
522,4,13,3250,39,1
523,1,10,2500,43,1
524,4,9,2250,28,0
525,2,4,1000,11,0
526,2,5,1250,16,1
527,2,15,3750,64,0
528,5,24,6000,79,0
529,2,6,1500,22,1
530,4,5,1250,16,1
531,2,4,1000,14,1
532,4,8,2000,28,0
533,2,4,1000,14,0
534,2,6,1500,26,0
535,4,5,1250,16,1
536,2,7,1750,32,1
537,2,6,1500,26,1
538,2,8,2000,38,1
539,2,2,500,4,1
540,2,6,1500,28,1
541,2,10,2500,52,0
542,4,16,4000,70,1
543,4,2,500,4,1
544,1,14,3500,95,0
545,4,2,500,4,1
546,7,14,3500,48,0
547,2,3,750,11,0
548,2,12,3000,70,1
549,4,7,1750,32,1
550,4,4,1000,16,0
551,2,6,1500,35,1
552,4,6,1500,28,1
553,2,3,750,14,0
554,2,4,1000,23,0
555,4,4,1000,18,0
556,5,6,1500,28,0
557,4,6,1500,30,0
558,14,5,1250,14,0
559,3,8,2000,50,0
560,4,11,2750,64,1
561,4,9,2250,52,0
562,4,16,4000,98,1
563,7,10,2500,47,0
564,4,14,3500,86,0
565,2,9,2250,75,0
566,4,6,1500,35,0
567,4,9,2250,55,0
568,4,6,1500,35,1
569,2,6,1500,45,0
570,2,6,1500,47,0
571,4,2,500,9,0
572,2,2,500,11,1
573,2,2,500,11,0
574,2,2,500,11,1
575,4,6,1500,38,1
576,3,4,1000,29,1
577,9,9,2250,38,0
578,11,5,1250,18,0
579,2,3,750,21,0
580,2,1,250,2,0
581,2,1,250,2,1
582,2,1,250,2,0
583,2,1,250,2,0
584,2,1,250,2,0
585,2,1,250,2,0
586,2,1,250,2,1
587,2,1,250,2,0
588,2,1,250,2,0
589,2,1,250,2,0
590,2,1,250,2,0
591,11,11,2750,38,0
592,2,3,750,22,0
593,9,11,2750,49,1
594,5,11,2750,75,0
595,3,5,1250,38,0
596,3,1,250,3,1
597,4,6,1500,43,0
598,2,3,750,24,0
599,12,11,2750,39,0
600,2,2,500,14,0
601,4,6,1500,46,0
602,9,3,750,14,0
603,14,8,2000,26,0
604,4,2,500,13,0
605,4,11,2750,95,0
606,2,7,1750,77,0
607,2,7,1750,77,0
608,4,1,250,4,0
609,4,1,250,4,0
610,4,1,250,4,0
611,4,1,250,4,0
612,4,1,250,4,1
613,4,1,250,4,0
614,4,1,250,4,0
615,4,1,250,4,0
616,4,1,250,4,0
617,4,1,250,4,0
618,4,1,250,4,1
619,4,1,250,4,0
620,4,7,1750,62,0
621,4,1,250,4,0
622,4,4,1000,34,1
623,11,6,1500,28,0
624,13,3,750,14,1
625,7,5,1250,35,0
626,9,9,2250,54,0
627,11,2,500,11,0
628,2,5,1250,63,0
629,7,11,2750,89,0
630,8,9,2250,64,0
631,2,2,500,22,0
632,6,3,750,26,0
633,12,15,3750,71,0
634,13,3,750,16,0
635,11,16,4000,89,0
636,4,5,1250,58,0
637,14,7,1750,35,0
638,11,4,1000,27,0
639,7,9,2250,89,1
640,11,8,2000,52,1
641,7,5,1250,52,0
642,11,6,1500,41,0
643,10,5,1250,38,0
644,14,2,500,14,1
645,14,2,500,14,0
646,14,2,500,14,0
647,2,2,500,33,0
648,11,3,750,23,0
649,14,8,2000,46,0
650,9,1,250,9,0
651,16,5,1250,27,0
652,14,4,1000,26,0
653,4,2,500,30,0
654,14,3,750,21,0
655,16,16,4000,77,0
656,4,2,500,31,0
657,14,8,2000,50,0
658,11,3,750,26,0
659,14,7,1750,45,0
660,15,5,1250,33,0
661,16,2,500,16,0
662,16,3,750,21,0
663,11,8,2000,72,0
664,11,1,250,11,0
665,11,1,250,11,0
666,11,1,250,11,0
667,11,1,250,11,1
668,11,1,250,11,0
669,2,3,750,75,1
670,2,3,750,77,0
671,16,4,1000,28,0
672,16,15,3750,87,0
673,16,14,3500,83,0
674,16,10,2500,62,0
675,16,3,750,23,0
676,14,3,750,26,0
677,23,19,4750,62,0
678,11,7,1750,75,0
679,14,3,750,28,0
680,20,14,3500,69,1
681,4,2,500,46,0
682,11,2,500,25,0
683,11,3,750,37,0
684,16,4,1000,33,0
685,21,7,1750,38,0
686,13,7,1750,76,0
687,16,6,1500,50,0
688,14,3,750,33,0
689,14,1,250,14,0
690,14,1,250,14,0
691,14,1,250,14,0
692,14,1,250,14,0
693,14,1,250,14,0
694,14,1,250,14,0
695,17,7,1750,58,1
696,14,3,750,35,0
697,14,3,750,35,0
698,16,7,1750,64,0
699,21,2,500,21,0
700,16,3,750,35,0
701,16,1,250,16,0
702,16,1,250,16,0
703,16,1,250,16,0
704,16,1,250,16,0
705,16,1,250,16,0
706,14,2,500,29,0
707,11,4,1000,74,0
708,11,2,500,38,1
709,21,6,1500,48,0
710,23,2,500,23,0
711,23,6,1500,45,0
712,14,2,500,35,1
713,16,6,1500,81,0
714,16,4,1000,58,0
715,16,5,1250,71,0
716,21,2,500,26,0
717,21,3,750,35,0
718,21,3,750,35,0
719,23,8,2000,69,0
720,21,3,750,38,0
721,23,3,750,35,0
722,21,3,750,40,0
723,23,2,500,28,0
724,21,1,250,21,0
725,21,1,250,21,0
726,25,6,1500,50,0
727,21,1,250,21,0
728,21,1,250,21,0
729,23,3,750,39,0
730,21,2,500,33,0
731,14,3,750,79,0
732,23,1,250,23,1
733,23,1,250,23,0
734,23,1,250,23,0
735,23,1,250,23,0
736,23,1,250,23,0
737,23,1,250,23,0
738,23,1,250,23,0
739,23,4,1000,52,0
740,23,1,250,23,0
741,23,7,1750,88,0
742,16,3,750,86,0
743,23,2,500,38,0
744,21,2,500,52,0
745,23,3,750,62,0
746,39,1,250,39,0
747,72,1,250,72,0
